,Year,Sector,School,Locality,Number of Unit 3/4 VCE Stubjects Offered, Number of VET Subjects Offered,IB Offered,Number of VCE Enrollments,Number of VET Enrollments,Number of VCAL Enrollments,Percentage of VCE students applying for tertiary places,VCE Percentage of Sastisfactory Completion,Number of students awarded the VCE (Baccalaureate),VET Percentage of Sastisfactory Completion,VCAL Percentage of Sastisfactory Completion,Median VCE study score,Percentage of study scores of 40 and over
330,2016,CATHOLIC,MONIVAE COLLEGE,HAMILTON,49,22,0,162,110,19,68,99,1,88.0,92.0,30.0,4.9
331,2016,GOVERNMENT,MONTEREY SECONDARY COLLEGE,FRANKSTON NORTH,21,17,0,37,75,48,66,94,0,57.0,75.0,24.0,0.0
332,2016,GOVERNMENT,MONTMORENCY SECONDARY COLLEGE,MONTMORENCY,39,22,0,142,58,41,88,100,5,98.0,96.0,30.0,8.0
333,2016,GOVERNMENT,MOOROOLBARK COLLEGE,MOOROOLBARK,43,30,0,180,134,76,81,96,1,80.0,70.0,28.0,1.1
334,2016,GOVERNMENT,MOOROOPNA SECONDARY COLLEGE,MOOROOPNA,39,20,0,79,69,37,60,93,0,82.0,77.0,24.0,0.0
335,2016,GOVERNMENT,MORDIALLOC COLLEGE,MORDIALLOC,48,24,0,121,57,27,88,98,4,79.0,83.0,27.0,1.2
336,2016,GOVERNMENT,MORNINGTON SECONDARY COLLEGE,MORNINGTON,49,32,0,314,135,120,69,97,3,83.0,95.0,27.0,2.2
337,2016,GOVERNMENT,MORTLAKE COLLEGE,MORTLAKE,18,9,0,23,15,0,55,100,0,100.0,0.0,35.0,14.3
338,2016,GOVERNMENT,MOUNT ALEXANDER 7-12 COLLEGE,FLEMINGTON,27,12,0,46,19,41,79,96,0,78.0,93.0,23.0,4.2
339,2016,GOVERNMENT,MOUNT BEAUTY SECONDARY COLLEGE,MOUNT BEAUTY,25,11,0,58,51,4,70,96,2,99.0,89.0,31.0,3.6
340,2016,GOVERNMENT,MOUNT CLEAR COLLEGE,MOUNT CLEAR,57,43,0,223,253,43,55,85,3,61.0,85.0,25.0,2.2
341,2016,GOVERNMENT,MOUNT ELIZA SECONDARY COLLEGE,MOUNT ELIZA,45,36,0,168,132,46,93,100,3,91.0,86.0,30.0,4.7
342,2016,GOVERNMENT,MOUNT ERIN COLLEGE,FRANKSTON,47,29,0,250,158,125,67,93,0,93.0,93.0,28.0,3.6
343,2016,INDEPENDENT,MOUNT EVELYN CHRISTIAN SCHOOL,MOUNT EVELYN,39,17,0,98,72,53,82,100,0,82.0,63.0,29.0,3.2
344,2016,CATHOLIC,MOUNT LILYDALE MERCY COLLEGE,LILYDALE,59,28,0,316,229,30,89,98,3,93.0,100.0,30.0,6.1
345,2016,GOVERNMENT,MOUNT RIDLEY P-12 COLLEGE,CRAIGIEBURN,61,31,0,205,142,91,94,99,1,82.0,58.0,24.0,0.7
346,2016,INDEPENDENT,MOUNT SCOPUS MEMORIAL COLLEGE,BURWOOD,43,16,0,223,181,0,99,100,12,92.0,0.0,37.0,35.4
347,2016,CATHOLIC,MOUNT ST JOSEPH GIRLS' COLLEGE,ALTONA,49,13,0,227,44,23,99,99,8,90.0,97.0,30.0,6.1
348,2016,GOVERNMENT,MOUNT WAVERLEY SECONDARY COLLEGE,MOUNT WAVERLEY,43,9,0,417,28,0,97,100,45,93.0,0.0,31.0,7.8
349,2016,INDEPENDENT,MOUNTAIN DISTRICT CHRISTIAN SCHOOL,MONBULK,18,7,0,29,8,0,66,100,0,82.0,0.0,28.0,2.8
351,2016,INDEPENDENT,MT HIRA COLLEGE,KEYSBOROUGH,12,0,0,52,0,0,89,97,0,0.0,0.0,29.0,0.8
352,2016,GOVERNMENT,MULLAUNA COLLEGE,MITCHAM,32,9,0,101,11,0,96,100,2,100.0,0.0,31.0,8.8
353,2016,GOVERNMENT,MURRAYVILLE COMMUNITY COLLEGE,MURRAYVILLE,11,5,0,22,28,6,66,100,0,62.0,100.0,32.0,22.9
355,2016,GOVERNMENT,MYRTLEFORD P-12 COLLEGE,MYRTLEFORD,26,10,0,36,19,15,70,100,0,100.0,93.0,28.0,0.0
356,2016,CATHOLIC,NAGLE COLLEGE,BAIRNSDALE,43,20,0,192,136,47,63,100,2,92.0,78.0,27.0,2.0
358,2016,GOVERNMENT,NARRE WARREN SOUTH P-12 COLLEGE,NARRE WARREN SOUTH,50,34,0,221,249,216,97,100,1,100.0,100.0,30.0,4.6
359,2016,GOVERNMENT,NATHALIA SECONDARY COLLEGE,NATHALIA,25,15,0,26,22,9,27,100,0,79.0,84.0,23.0,2.0
360,2016,CATHOLIC,NAZARETH COLLEGE,NOBLE PARK NORTH,62,29,0,150,70,38,96,100,4,91.0,99.0,31.0,5.4
362,2016,GOVERNMENT,NEWCOMB SECONDARY COLLEGE,NEWCOMB,47,30,0,93,120,60,55,98,0,95.0,77.0,25.0,1.2
363,2016,INDEPENDENT,NEWHAVEN COLLEGE,NEWHAVEN,31,2,0,149,35,0,85,100,2,97.0,0.0,30.0,8.6
364,2016,GOVERNMENT,NHILL COLLEGE,NHILL,22,10,0,47,16,14,79,96,0,96.0,85.0,30.0,6.1
365,2016,GOVERNMENT,NOBLE PARK SECONDARY COLLEGE,NOBLE PARK,32,13,0,99,56,53,79,94,1,82.0,92.0,25.0,1.0
366,2016,GOVERNMENT,NORTH GEELONG SECONDARY COLLEGE,GEELONG NORTH,48,30,0,115,130,101,56,98,0,59.0,83.0,25.0,1.4
367,2016,GOVERNMENT,NORTHCOTE HIGH SCHOOL,NORTHCOTE,61,27,0,445,115,0,91,99,19,93.0,0.0,31.0,10.8
368,2016,GOVERNMENT,NORTHERN BAY P-12 COLLEGE,CORIO,41,26,0,67,154,67,57,96,0,60.0,51.0,22.0,0.0
369,2016,GOVERNMENT,NORTHERN COLLEGE OF THE ARTS AND TECHNOLOGY,PRESTON EAST,48,28,0,244,353,199,40,98,0,94.0,98.0,26.0,1.4
370,2016,INDEPENDENT,NORTHSIDE CHRISTIAN COLLEGE,BUNDOORA,18,10,0,29,16,5,69,100,0,99.0,100.0,27.0,5.1
371,2016,GOVERNMENT,NORWOOD SECONDARY COLLEGE,RINGWOOD,45,24,0,233,95,35,73,100,5,96.0,96.0,29.0,4.9
372,2016,SELECTIVE,NOSSAL HIGH SCHOOL,BERWICK,44,6,0,425,23,0,99,100,46,100.0,0.0,35.0,22.7
373,2016,CATHOLIC,NOTRE DAME COLLEGE,SHEPPARTON,67,40,0,356,574,99,80,99,1,77.0,90.0,29.0,3.2
374,2016,GOVERNMENT,NUMURKAH SECONDARY COLLEGE,NUMURKAH,28,17,0,46,41,26,62,100,0,84.0,89.0,26.0,0.0
375,2016,INDEPENDENT,NUNAWADING CHRISTIAN COLLEGE - SECONDARY CAMPUS,NUNAWADING,16,3,0,35,0,0,100,100,1,0.0,0.0,32.0,14.1
376,2016,INDEPENDENT,OAKLEIGH GRAMMAR,OAKLEIGH,26,2,0,89,0,0,92,100,2,0.0,0.0,30.0,4.3
377,2016,GOVERNMENT,OAKWOOD SCHOOL - CAULFIELD PARK COMMUNITY CAMPUS,CAULFIELD NORTH,21,24,0,35,104,16,0,0,0,43.0,93.0,25.0,0.0
378,2016,GOVERNMENT,OBERON HIGH SCHOOL,BELMONT,58,27,0,157,78,37,72,97,2,79.0,83.0,29.0,3.5
379,2016,GOVERNMENT,ORBOST SECONDARY COLLEGE,ORBOST,16,6,0,68,57,31,53,92,0,63.0,72.0,24.0,0.9
380,2016,CATHOLIC,OUR LADY OF MERCY COLLEGE,HEIDELBERG,53,18,0,324,70,11,96,100,23,95.0,100.0,33.0,10.3
381,2016,CATHOLIC,OUR LADY OF SACRED HEART COLLEGE,BENTLEIGH,39,21,0,172,185,21,99,100,8,97.0,98.0,31.0,8.5
382,2016,CATHOLIC,OUR LADY OF SION COLLEGE,BOX HILL,43,21,0,245,35,9,98,100,20,91.0,100.0,33.0,8.9
383,2016,GOVERNMENT,OUYEN P-12 COLLEGE,OUYEN,19,6,0,32,20,15,81,100,0,97.0,88.0,31.0,7.9
384,2016,INDEPENDENT,OVERNEWTON ANGLICAN COMMUNITY COLLEGE,KEILOR,40,11,0,255,147,0,91,100,6,97.0,0.0,30.0,8.5
385,2016,INDEPENDENT,OXLEY CHRISTIAN COLLEGE,CHIRNSIDE PARK,33,5,0,146,6,0,97,99,3,88.0,0.0,32.0,11.4
386,2016,INDEPENDENT,OZFORD COLLEGE,MELBOURNE,12,2,0,27,31,29,80,100,0,93.0,86.0,21.0,0.0
387,2016,CATHOLIC,PADUA COLLEGE,MORNINGTON,65,42,0,528,289,51,79,100,10,94.0,93.0,29.0,5.2
389,2016,CATHOLIC,PARADE COLLEGE,BUNDOORA,66,28,0,428,311,128,81,99,13,90.0,96.0,31.0,9.1
390,2016,GOVERNMENT,PARKDALE SECONDARY COLLEGE,MORDIALLOC,60,36,0,347,216,41,65,99,2,98.0,97.0,29.0,6.3
392,2016,GOVERNMENT,PASCOE VALE GIRLS SECONDARY COLLEGE,PASCOE VALE,42,8,0,248,102,13,95,99,14,96.0,85.0,28.0,2.3
393,2016,GOVERNMENT,PATTERSON RIVER SECONDARY COLLEGE,CARRUM,49,33,0,200,122,78,59,93,0,98.0,93.0,28.0,3.0
394,2016,INDEPENDENT,PENLEIGH AND ESSENDON GRAMMAR SCHOOL,KEILOR EAST,37,3,0,310,4,0,92,100,66,18.0,0.0,36.0,25.5
395,2016,CATHOLIC,PENOLA CATHOLIC COLLEGE,BROADMEADOWS,56,27,0,328,233,66,85,100,12,90.0,83.0,28.0,2.2
397,2016,GOVERNMENT,PHOENIX P-12 COMMUNITY COLLEGE,SEBASTOPOL,47,29,0,162,142,87,79,93,0,78.0,77.0,27.0,1.1
399,2016,INDEPENDENT,PLENTY VALLEY CHRISTIAN COLLEGE,DOREEN,41,21,0,117,60,20,91,100,2,86.0,100.0,31.0,7.9
400,2016,GOVERNMENT,POINT COOK SENIOR SECONDARY COLLEGE,POINT COOK,74,35,0,383,227,110,78,92,3,87.0,79.0,27.0,2.1
401,2016,GOVERNMENT,PORTLAND SECONDARY COLLEGE,PORTLAND,34,15,0,127,148,46,77,96,2,76.0,75.0,26.0,1.7
403,2016,INDEPENDENT,PRESBYTERIAN LADIES' COLLEGE,BURWOOD,35,2,1,268,4,0,100,100,51,100.0,0.0,35.0,22.4
405,2016,INDEPENDENT,PRESHIL THE MARGARET LYTTLE MEMORIAL SCHOOL,KEW,19,7,0,33,9,0,72,96,0,89.0,0.0,27.0,3.0
407,2016,GOVERNMENT,PRINCES HILL SECONDARY COLLEGE,PRINCES HILL,46,28,0,200,49,22,90,98,9,98.0,75.0,31.0,7.8
409,2016,GOVERNMENT,RED CLIFFS SECONDARY COLLEGE,RED CLIFFS,37,18,0,137,85,47,58,92,0,67.0,92.0,25.0,1.0
410,2016,GOVERNMENT,RESERVOIR HIGH SCHOOL,RESERVOIR,45,21,0,113,69,24,71,92,2,81.0,91.0,26.0,2.7
414,2016,GOVERNMENT,ROCHESTER SECONDARY COLLEGE,ROCHESTER,33,14,0,93,63,24,83,98,0,93.0,96.0,27.0,1.3
415,2016,GOVERNMENT,ROSEBUD SECONDARY COLLEGE,ROSEBUD,60,39,0,238,122,69,72,100,4,95.0,91.0,28.0,2.8
416,2016,GOVERNMENT,ROSEHILL SECONDARY COLLEGE,NIDDRIE,48,19,0,172,54,29,75,96,1,96.0,98.0,29.0,2.2
420,2016,GOVERNMENT,RUTHERGLEN HIGH SCHOOL,RUTHERGLEN,19,10,0,48,56,12,40,96,0,84.0,70.0,25.0,4.0
421,2016,INDEPENDENT,RUYTON GIRLS' SCHOOL,KEW,40,6,0,147,16,0,100,100,19,100.0,0.0,37.0,30.3
422,2016,CATHOLIC,SACRE COEUR,GLEN IRIS,35,4,0,165,5,0,100,100,17,100.0,0.0,36.0,27.1
423,2016,CATHOLIC,SACRED HEART COLLEGE,YARRAWONGA,36,18,0,46,61,11,79,100,0,94.0,97.0,28.0,1.7
424,2016,CATHOLIC,SACRED HEART COLLEGE GEELONG,NEWTOWN,66,31,0,413,176,50,92,100,11,99.0,97.0,33.0,13.5
426,2016,CATHOLIC,SACRED HEART GIRLS' COLLEGE OAKLEIGH,HUGHESDALE,47,13,0,261,27,0,100,100,20,98.0,0.0,33.0,13.8
427,2016,CATHOLIC,SAINT IGNATIUS COLLEGE GEELONG,DRYSDALE,45,26,0,181,60,41,75,100,6,98.0,98.0,30.0,8.5
428,2016,GOVERNMENT,SALE COLLEGE,SALE,35,15,0,136,86,51,61,94,0,83.0,83.0,26.0,2.5
429,2016,CATHOLIC,SALESIAN COLLEGE,CHADSTONE,43,17,0,167,54,24,87,100,7,97.0,100.0,31.0,9.1
430,2016,CATHOLIC,SALESIAN COLLEGE SUNBURY,SUNBURY,56,31,0,242,127,69,95,99,1,86.0,82.0,29.0,3.8
431,2016,GOVERNMENT,SANDRINGHAM COLLEGE,SANDRINGHAM,74,33,0,319,169,59,73,97,3,81.0,71.0,28.0,5.1
432,2016,CATHOLIC,SANTA MARIA COLLEGE,NORTHCOTE,47,19,0,209,39,9,98,100,8,89.0,84.0,31.0,8.0
433,2016,GOVERNMENT,SCORESBY SECONDARY COLLEGE,SCORESBY,33,16,0,77,41,24,78,98,0,93.0,81.0,23.0,1.5
434,2016,INDEPENDENT,SCOTCH COLLEGE,HAWTHORN,49,8,0,453,10,0,96,100,83,100.0,0.0,35.0,23.9
436,2016,GOVERNMENT,SEYMOUR COLLEGE,SEYMOUR,41,26,0,109,110,25,85,90,1,90.0,76.0,27.0,1.5
437,2016,INDEPENDENT,SHELFORD GIRLS' GRAMMAR,CAULFIELD,36,10,0,129,15,0,100,100,12,95.0,0.0,37.0,30.7
439,2016,INDEPENDENT,SHEPPARTON CHRISTIAN COLLEGE,SHEPPARTON,26,14,0,37,25,10,83,92,2,81.0,80.0,28.0,1.6
440,2016,GOVERNMENT,SHEPPARTON HIGH SCHOOL,SHEPPARTON,44,19,0,123,88,69,61,89,0,89.0,97.0,27.0,1.7
442,2016,CATHOLIC,SIENA COLLEGE,CAMBERWELL,38,9,0,165,11,0,98,100,13,100.0,0.0,34.0,16.0
443,2016,CATHOLIC,SIMONDS CATHOLIC COLLEGE,FITZROY NORTH,33,13,0,106,37,18,93,98,0,86.0,89.0,28.0,3.0
445,2016,INDEPENDENT,SIRIUS COLLEGE - KEYSBOROUGH CAMPUS,KEYSBOROUGH,15,0,0,72,0,0,100,100,0,0.0,0.0,26.0,3.1
446,2016,INDEPENDENT,SIRIUS COLLEGE - MEADOW FAIR CAMPUS,BROADMEADOWS,16,0,0,125,0,0,90,100,5,0.0,0.0,31.0,11.4
448,2016,GOVERNMENT,SOMERVILLE SECONDARY COLLEGE,SOMERVILLE,29,23,0,59,44,25,63,100,0,98.0,90.0,23.0,0.8
449,2016,GOVERNMENT,SOUTH GIPPSLAND SECONDARY COLLEGE,FOSTER,33,13,0,63,32,18,68,84,0,58.0,74.0,26.0,3.5
450,2016,GOVERNMENT,SOUTH OAKLEIGH SECONDARY COLLEGE,OAKLEIGH SOUTH,32,3,0,88,27,0,95,98,1,95.0,0.0,29.0,1.1
454,2016,CATHOLIC,ST ALOYSIUS COLLEGE,NORTH MELBOURNE,42,14,0,103,55,9,93,100,5,77.0,100.0,30.0,5.8
455,2016,INDEPENDENT,ST ANDREWS CHRISTIAN COLLEGE,WANTIRNA SOUTH,27,6,0,41,9,0,94,100,3,100.0,0.0,31.0,6.6
459,2016,CATHOLIC,ST BERNARD'S COLLEGE,ESSENDON,50,21,0,367,144,17,89,100,18,94.0,98.0,32.0,10.2
460,2016,CATHOLIC,ST BRIGID'S COLLEGE,HORSHAM,29,15,0,99,78,114,70,98,0,97.0,92.0,28.0,3.9
461,2016,INDEPENDENT,ST CATHERINE'S SCHOOL,TOORAK,32,10,0,136,13,0,100,100,16,95.0,0.0,35.0,18.0
462,2016,CATHOLIC,ST COLUMBA'S COLLEGE,ESSENDON,45,15,0,213,45,12,100,100,10,97.0,100.0,32.0,10.3
463,2016,CATHOLIC,ST FRANCIS XAVIER COLLEGE,BEACONSFIELD,59,28,0,435,410,115,82,99,10,97.0,89.0,30.0,5.9
464,2016,GOVERNMENT,ST HELENA SECONDARY COLLEGE,ELTHAM,44,22,0,361,250,38,92,98,2,82.0,86.0,30.0,5.6
465,2016,INDEPENDENT,ST JOHN'S GREEK ORTHODOX COLLEGE,PRESTON,17,2,0,22,0,0,80,93,1,0.0,0.0,32.0,5.9
466,2016,CATHOLIC,ST JOHN'S REGIONAL COLLEGE,DANDENONG,57,25,0,195,159,39,95,99,2,100.0,98.0,25.0,1.8
467,2016,CATHOLIC,ST JOSEPH'S COLLEGE ECHUCA,ECHUCA,43,22,0,233,237,18,69,99,4,91.0,90.0,28.0,3.0
468,2016,CATHOLIC,ST JOSEPH'S COLLEGE FERNTREE GULLY,FERNTREE GULLY,48,30,0,267,321,50,89,98,0,82.0,99.0,30.0,4.3
469,2016,CATHOLIC,ST JOSEPH'S COLLEGE MILDURA,MILDURA,45,30,0,173,89,29,73,96,0,90.0,93.0,30.0,6.1
470,2016,CATHOLIC,ST JOSEPH'S COLLEGE NEWTOWN,NEWTOWN,61,26,0,392,240,48,75,99,9,98.0,99.0,31.0,9.4
472,2016,INDEPENDENT,ST LEONARDS COLLEGE,BRIGHTON EAST,42,8,1,203,27,0,93,100,10,96.0,0.0,33.0,14.7
473,2016,INDEPENDENT,ST MARGARETS SCHOOL,BERWICK,30,0,0,117,0,0,100,100,10,0.0,0.0,34.0,15.9
474,2016,CATHOLIC,ST MARY MACKILLOP COLLEGE,SWAN HILL,33,16,0,125,137,35,83,98,0,94.0,95.0,31.0,7.3
475,2016,CATHOLIC,ST MARY OF THE ANGELS SCHOOL,NATHALIA,42,27,0,121,79,26,91,100,0,67.0,80.0,29.0,3.5
476,2016,INDEPENDENT,ST MARY'S COPTIC ORTHODOX COLLEGE,COOLAROO,16,0,0,97,0,0,84,96,7,0.0,0.0,27.0,8.4
477,2016,INDEPENDENT,ST MICHAEL'S GRAMMAR SCHOOL,ST KILDA,39,5,0,205,12,0,90,100,17,90.0,0.0,34.0,16.0
478,2016,CATHOLIC,ST MONICA'S COLLEGE,EPPING,55,18,0,354,293,53,83,100,14,95.0,91.0,31.0,8.6
479,2016,CATHOLIC,ST PATRICK'S COLLEGE,BALLARAT,48,23,0,376,284,0,71,100,2,92.0,0.0,29.0,4.9
480,2016,INDEPENDENT,ST PAUL'S ANGLICAN GRAMMAR SCHOOL,WARRAGUL,35,13,0,204,66,0,93,100,26,97.0,0.0,31.0,7.5
481,2016,CATHOLIC,ST PETER'S COLLEGE,CRANBOURNE,61,37,0,260,166,59,76,98,2,92.0,95.0,27.0,2.1
482,2016,INDEPENDENT,ST THOMAS AQUINAS COLLEGE,TYNONG,12,1,0,25,0,0,76,100,3,0.0,0.0,28.0,3.9
483,2016,CATHOLIC,STAR OF THE SEA COLLEGE,BRIGHTON,47,16,0,257,62,9,99,99,8,94.0,100.0,34.0,15.0
484,2016,GOVERNMENT,STAUGHTON COLLEGE,MELTON SOUTH,39,21,0,154,67,55,60,95,1,64.0,65.0,25.0,0.2
485,2016,GOVERNMENT,STAWELL SECONDARY COLLEGE,STAWELL,26,19,0,67,54,38,80,98,0,92.0,57.0,26.0,2.1
487,2016,INDEPENDENT,STRATHCONA BAPTIST GIRLS GRAMMAR SCHOOL,CANTERBURY,39,5,0,165,10,0,95,100,22,100.0,0.0,36.0,25.8
488,2016,GOVERNMENT,STRATHMORE SECONDARY COLLEGE,STRATHMORE,49,7,0,404,23,0,96,99,21,96.0,0.0,31.0,9.6
489,2016,GOVERNMENT,SUNBURY COLLEGE,SUNBURY,32,16,0,189,213,0,65,99,2,82.0,0.0,27.0,3.2
490,2016,GOVERNMENT,SUNBURY DOWNS SECONDARY COLLEGE,SUNBURY,31,13,0,122,104,66,80,100,1,84.0,96.0,30.0,1.7
492,2016,GOVERNMENT,SUNSHINE COLLEGE,SUNSHINE,36,17,0,173,211,212,94,97,2,91.0,92.0,28.0,2.0
493,2016,GOVERNMENT,SURF COAST SECONDARY COLLEGE,TORQUAY,51,28,0,99,133,19,61,90,0,91.0,86.0,25.0,1.7
494,2016,SELECTIVE,SUZANNE CORY HIGH SCHOOL,WERRIBEE,39,1,0,379,4,0,96,100,35,100.0,0.0,34.0,15.5
495,2016,GOVERNMENT,SWAN HILL COLLEGE,SWAN HILL,40,26,0,216,285,89,86,95,2,92.0,85.0,27.0,1.4
500,2016,GOVERNMENT,TALLANGATTA SECONDARY COLLEGE,TALLANGATTA,30,16,0,77,95,31,59,100,0,99.0,89.0,27.0,4.7
501,2016,GOVERNMENT,TARNEIT SENIOR COLLEGE,TARNEIT,37,8,0,132,27,28,64,98,2,82.0,100.0,25.0,1.3
503,2016,GOVERNMENT,TEMPLESTOWE COLLEGE,TEMPLESTOWE LOWER,53,22,0,219,71,27,63,95,1,80.0,92.0,26.0,3.0
506,2016,INDEPENDENT,THE GEELONG COLLEGE,NEWTOWN,43,8,0,263,32,0,93,100,16,95.0,0.0,34.0,17.8
507,2016,GOVERNMENT,THE GRANGE P-12 COLLEGE,HOPPERS CROSSING,26,19,0,144,140,63,79,99,0,83.0,81.0,22.0,0.7
508,2016,INDEPENDENT,THE HAMILTON AND ALEXANDRA COLLEGE,HAMILTON,32,6,0,104,54,0,87,100,6,98.0,0.0,32.0,7.7
509,2016,INDEPENDENT,THE KING DAVID SCHOOL- SENIOR SCHOOL,ARMADALE,45,16,0,144,70,0,96,100,6,97.0,0.0,35.0,23.2
510,2016,INDEPENDENT,THE KNOX SCHOOL,WANTIRNA SOUTH,38,7,0,146,22,0,94,100,9,97.0,0.0,32.0,12.2
513,2016,GOVERNMENT,THOMASTOWN SECONDARY COLLEGE,THOMASTOWN,39,19,0,101,34,0,83,96,1,100.0,0.0,23.0,0.6
514,2016,GOVERNMENT,THORNBURY HIGH SCHOOL,THORNBURY,47,20,0,323,215,199,87,98,3,96.0,92.0,29.0,4.7
515,2016,GOVERNMENT,TIMBOON P-12 SCHOOL,TIMBOON,25,14,0,32,34,13,92,100,0,98.0,63.0,27.0,1.3
516,2016,INDEPENDENT,TINTERN GRAMMAR,RINGWOOD EAST,39,9,1,127,28,0,92,100,4,87.0,0.0,32.0,11.1
517,2016,INDEPENDENT,TOORAK COLLEGE,MOUNT ELIZA,32,9,0,114,13,7,97,100,10,91.0,100.0,34.0,18.8
518,2016,GOVERNMENT,TRAFALGAR HIGH SCHOOL,TRAFALGAR,25,15,0,127,24,36,70,100,1,74.0,91.0,27.0,2.8
519,2016,GOVERNMENT,TRARALGON COLLEGE,TRARALGON,41,21,0,105,74,56,74,94,0,77.0,53.0,26.0,0.0
520,2016,CATHOLIC,TRINITY COLLEGE COLAC,COLAC,40,23,0,185,102,39,75,100,3,90.0,87.0,28.0,6.4
521,2016,INDEPENDENT,TRINITY GRAMMAR SCHOOL,KEW,38,6,0,268,22,0,99,100,26,93.0,0.0,36.0,29.8
522,2016,GOVERNMENT,TYRRELL COLLEGE,SEA LAKE,13,10,0,22,39,11,100,100,0,71.0,87.0,29.0,8.7
523,2016,GOVERNMENT,UNIVERSITY HIGH SCHOOL,PARKVILLE,58,22,0,448,52,0,93,96,52,94.0,0.0,32.0,10.1
524,2016,GOVERNMENT,UPPER YARRA SECONDARY COLLEGE,YARRA JUNCTION,35,19,0,80,62,23,89,100,1,71.0,72.0,27.0,0.5
525,2016,GOVERNMENT,UPWEY HIGH SCHOOL,UPWEY,48,29,0,169,89,37,63,99,1,96.0,72.0,27.0,2.7
526,2016,GOVERNMENT,VERMONT SECONDARY COLLEGE,VERMONT,61,24,0,303,44,0,96,100,15,94.0,0.0,30.0,6.1
528,2016,GOVERNMENT,VICTORIA UNIVERSITY SECONDARY COLLEGE - BRIMBANK CAMPUS,ST ALBANS,50,19,0,183,143,85,84,93,0,90.0,85.0,27.0,0.8
530,2016,GOVERNMENT,VICTORIAN COLLEGE OF THE ARTS SECONDARY SCHOOL,SOUTHBANK,29,3,0,166,47,0,71,98,1,99.0,0.0,34.0,22.7
531,2016,INDEPENDENT,VICTORY CHRISTIAN COLLEGE,STRATHDALE,28,8,0,44,10,0,63,100,0,38.0,0.0,28.0,5.0
532,2016,INDEPENDENT,VICTORY LUTHERAN COLLEGE,WEST WODONGA,20,8,0,52,47,0,82,100,0,97.0,0.0,29.0,0.7
534,2016,GOVERNMENT,WALLAN SECONDARY COLLEGE,WALLAN,38,19,0,107,53,33,62,93,1,87.0,78.0,26.0,3.0
536,2016,GOVERNMENT,WANGARATTA HIGH SCHOOL - EDWARDS STREET CAMPUS,WANGARATTA,49,30,0,203,136,54,57,98,6,84.0,52.0,27.0,4.5
537,2016,GOVERNMENT,WANTIRNA COLLEGE,WANTIRNA,54,24,0,232,68,32,85,99,6,85.0,89.0,29.0,5.4
538,2016,GOVERNMENT,WARRACKNABEAL SECONDARY COLLEGE,WARRACKNABEAL,24,17,0,47,50,32,89,100,0,85.0,56.0,28.0,4.1
539,2016,GOVERNMENT,WARRAGUL REGIONAL COLLEGE,WARRAGUL,39,23,0,141,67,50,75,99,4,83.0,96.0,28.0,6.3
540,2016,GOVERNMENT,WARRANDYTE HIGH SCHOOL,WARRANDYTE,36,18,0,129,84,0,69,96,0,94.0,0.0,27.0,4.8
541,2016,GOVERNMENT,WARRNAMBOOL COLLEGE,WARRNAMBOOL,57,34,0,279,132,27,75,91,9,70.0,73.0,28.0,5.5
542,2016,INDEPENDENT,WAVERLEY CHRISTIAN COLLEGE,WANTIRNA SOUTH,46,13,0,228,31,5,88,99,7,93.0,91.0,32.0,11.8
543,2016,GOVERNMENT,WEDDERBURN COLLEGE,WEDDERBURN,18,12,0,26,44,15,85,100,0,72.0,74.0,26.0,1.6
544,2016,GOVERNMENT,WELLINGTON SECONDARY COLLEGE,MULGRAVE,51,19,0,362,50,30,96,100,9,95.0,92.0,30.0,5.5
545,2016,GOVERNMENT,WERRIBEE SECONDARY COLLEGE,WERRIBEE,80,48,1,324,190,103,86,93,8,68.0,90.0,30.0,5.8
546,2016,INDEPENDENT,WESLEY COLLEGE,MELBOURNE,48,10,1,169,44,0,95,100,12,98.0,0.0,33.0,10.1
547,2016,INDEPENDENT,WESLEY COLLEGE GLEN WAVERLEY CAMPUS,GLEN WAVERLEY,34,9,1,117,35,0,89,100,15,45.0,0.0,31.0,8.9
548,2016,GOVERNMENT,WESTALL SECONDARY COLLEGE,CLAYTON SOUTH,26,19,0,80,59,29,92,100,3,73.0,71.0,26.0,7.7
549,2016,INDEPENDENT,WESTBOURNE GRAMMAR SCHOOL - HOPPERS CROSSING CAMPUS,TRUGANINA,33,0,0,173,0,0,91,100,23,0.0,0.0,33.0,14.7
550,2016,GOVERNMENT,WESTERN HEIGHTS SECONDARY COLLEGE,HAMLYN HEIGHTS,42,23,0,183,77,41,38,88,0,68.0,84.0,24.0,0.5
551,2016,GOVERNMENT,WESTERN PORT SECONDARY COLLEGE,HASTINGS,40,26,0,94,68,41,59,100,1,90.0,70.0,26.0,1.3
553,2016,GOVERNMENT,WHEELERS HILL SECONDARY COLLEGE,WHEELERS HILL,30,13,0,88,15,0,81,100,2,88.0,0.0,29.0,5.6
554,2016,CATHOLIC,WHITEFRIARS COLLEGE,DONVALE,47,17,0,316,96,34,92,100,5,95.0,99.0,31.0,7.3
555,2016,GOVERNMENT,WHITTLESEA SECONDARY COLLEGE,WHITTLESEA,52,29,0,136,166,59,75,95,0,84.0,88.0,25.0,0.8
557,2016,GOVERNMENT,WILLIAM RUTHVEN SECONDARY COLLEGE,RESERVOIR,31,14,0,94,32,13,92,96,0,62.0,90.0,25.0,1.3
